Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD
GENERATION: 0 Individuals:
    0,   19,   2,  63,  82,   0,   6, 178,  18966.334,   41570,    8020
    1,   15,   3,  34,  93,   1,  24, 189,  18470.334,   36030,    3270
    2,   68,   1,  45,  63,   1,  78,  45,  18333.000,   40380,    4180
    3,   69,   3,  76,  69,   3,   9,  94,  18231.334,   36510,    4270
    4,   88,   4,  27,  81,   4,  30, 194,  17908.334,   35120,    2170
    5,   26,   2,  67,  50,   3,  20,  30,  17657.334,   40560,    4280
    6,   45,   3,  53,  67,   1,  23,  24,  17420.000,   33810,    3860
    7,   52,   1,  23,  35,   2,  70, 101,  17393.666,   32160,    3990
    8,   21,   2,  32,  80,   2,  56, 125,  17358.000,   32290,    2780
    9,   61,   2,  25,  77,   4,  48,  71,  17134.666,   41560,    4740
   10,   21,   1,  50,  47,   2,  53, 156,  16904.666,   39050,    3420
   11,   39,   4,  33,  97,   3,   3, 158,  16892.000,   57320,    1420
   12,   32,   2,  80,  62,   4,  29, 113,  16760.334,   35210,    4390
   13,   38,   2,  78,  65,   4,  33, 120,  16731.334,   39530,    4710
   14,   27,   3,  63,  28,   2,  21,  99,  16436.334,   27740,    6930
   15,   38,   1,  37,  60,   3,  39,  45,  16256.667,   26150,    4950
   16,   66,   4,  78,  44,   1,  59, 135,  16115.000,   34270,    3470
   17,   77,   1,  91,   5,   4,   0,  44,  16112.667,   28780,    3900
   18,   49,   3,  68,  73,   4,   9, 116,  15797.333,   30300,    6380
   19,   19,   3,  84,  53,   1,  45, 193,  15768.667,   33690,    1980
   20,    0,   4,  48,  82,   2,  58,  78,  15721.667,   43480,    4310
   21,   71,   0,  67,  37,   2,  33, 168,  15436.000,   28640,    4380
   22,   94,   3,  11,  26,   2,  93, 199,  15413.667,   30080,    3740
   23,   67,   3,  63,  31,   3,  60,  49,  15389.333,   27140,    5470
   24,   41,   2,  12,  43,   4,  72, 125,  15360.000,   27380,    3770
   25,   84,   1,  41,  37,   2,  20, 180,  15240.333,   30280,    3370
   26,   50,   1,  78,  72,   3,  99, 125,  15194.000,   23420,    5230
   27,   36,   3,  95,  25,   0,  57, 104,  15146.000,   28060,    3330
   28,   84,   4,  18,  71,   3,  24,  41,  15125.667,   39850,    4180
   29,   68,   1,  40,  67,   2,  96, 126,  15123.667,   28620,    3330
   30,   56,   4,  56,  73,   3,  69, 136,  15099.333,   30200,    4730
   31,    9,   4,  77,  51,   2,  22, 121,  14961.000,   47310,    4300
   32,   58,   2,   9,  29,   1,  85,  71,  14945.000,   41230,    6030
   33,   10,   2,  50,  23,   0,  98, 135,  14907.667,   34730,    1800
   34,   18,   1,  18,  21,   0,  77, 174,  14892.333,   38340,    3780
   35,   34,   3,  10,   3,   1,  13, 177,  14875.667,   27990,    3430
   36,   68,   2,  64,  73,   3,  68, 101,  14813.667,   29280,    6240
   37,    3,   1,  30,  23,   3,  58,  55,  14763.333,   31910,    5200
   38,   96,   4,  75,  30,   0,  70, 140,  14739.333,   33610,    2500
   39,   64,   0,  54,  76,   0,  70, 178,  14719.000,   25000,    5820
   40,   95,   0,  89,   9,   0,   5,  39,  14687.333,   25310,    3690
   41,   34,   0,  35,   7,   2,  71,  85,  14686.333,   22660,    4160
   42,    4,   1,  94,  96,   2,  96, 165,  14680.667,   31180,    3260
   43,    0,   2,   0,  39,   1,  28,  91,  14630.000,   31620,    3820
   44,    3,   2,  40,  82,   4,  82, 145,  14591.000,   41950,    4190
   45,   53,   4,  62,   2,   1,  56, 134,  14477.000,   30790,    3290
   46,    5,   1,  31,  62,   1,  90,  82,  14461.000,   32790,    3050
   47,   92,   2,  29,  24,   1,  79, 120,  14324.000,   29000,    2430
   48,   20,   4,  20,  21,   2,   5,  51,  14237.667,   29160,    4310
   49,   89,   4,  47,  77,   2,  91,  66,  14143.333,   28710,    4950
   50,    8,   0,  21,  64,   3,  30,  42,  14116.000,   24130,    3830
   51,   87,   1,  48,  99,   3,  57,  99,  14004.000,   26100,    3120
   52,   78,   1,  78,  54,   1,  99, 121,  13950.667,   36170,    3850
   53,   96,   2,  70,  16,   1,  12,  92,  13889.000,   30750,    3940
   54,   95,   3,  16,   2,   2,  60,  76,  13874.333,   28220,    5570
   55,   42,   4,  38,  21,   4,   2, 191,  13850.000,   30930,    1970
   56,   24,   1,  23,   6,   3,  53, 143,  13842.667,   40520,    3770
   57,   29,   2,  20,  19,   0,  95, 175,  13802.667,   29970,    4140
   58,   68,   3,  55,  95,   1,   1,   0,  13618.000,   27860,    2540
   59,   56,   1,  37,  72,   0,  19, 164,  13593.667,   29310,    3830
   60,   30,   1,  72,  47,   1,  88,  84,  13588.667,   26630,    4320
   61,    5,   1,  97,  31,   1,  20,  31,  13553.000,   28010,    2300
   62,   67,   3,  39,  96,   0,  83,  55,  13482.667,   25240,    6050
   63,    0,   0,  88,  11,   4,  17, 146,  13335.667,   33620,    3410
   64,   67,   0,  87,  13,   4,  48, 122,  13263.667,   26220,    2750
   65,    8,   4,   1,  18,   4,  63, 130,  13232.667,   32060,    2850
