Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD, Fitness, Best Score, Worst Score 
GENERATION: 0
 80,   11,   0,   6,  81,   3,   2, 131,  12255.667,   20440,    3280
 81,   94,   3,  11,  26,   2,  93, 199,  15413.667,   30080,    3740
 82,   75,   2,  83,  87,   3,   1,  66,  13166.000,   29910,    4330
 83,    8,   0,  21,  64,   3,  30,  42,  14116.000,   24130,    3830
 84,   61,   2,  25,  77,   4,  48,  71,  17134.666,   41560,    4740
 85,   14,   0,  79,  86,   2,   5,  87,  10544.667,   25980,    2570
 86,   96,   2,  70,  16,   1,  12,  92,  13889.000,   30750,    3940
 87,   36,   3,  95,  25,   0,  57, 104,  15146.000,   28060,    3330
 88,   68,   2,  64,  73,   3,  68, 101,  14813.667,   29280,    6240
 89,   67,   0,  87,  13,   4,  48, 122,  13263.667,   26220,    2750
 90,   89,   0,  57,   4,   3,  68, 111,  13063.333,   24000,    3010
 91,   39,   4,  33,  97,   3,   3, 158,  16892.000,   57320,    1420
 92,    2,   4,  35,  31,   0,  85, 136,  10294.667,   27730,    2940
 93,   40,   0,  30,  95,   2,  97,  27,  11367.333,   23290,    2600
 94,   19,   3,  84,  53,   1,  45, 193,  15768.667,   33690,    1980
 95,   38,   2,  53,  50,   3,  66,   8,   7722.333,   17160,    4140
 96,   24,   4,   1,  59,   2,  57, 172,  12546.333,   36380,    2350
 97,    0,   4,  48,  82,   2,  58,  78,  15721.667,   43480,    4310
 98,   68,   1,  40,  67,   2,  96, 126,  15123.667,   28620,    3330
 99,   71,   0,   3,  99,   1,  31,  60,  12127.333,   16920,    2380
GENERATION: 0 Statistics:
Avg. fitness: 13426.67
Worst fitness: 1223.6666 Worst_Best: 6670.0 Worst_Worst: 170.0
Best fitness: 18966.334 Best_Best: 41570.0 Best_Worst: 8020.0

  0,   19,   2,  63,  82,   0,   6, 178,  19868.334,   40370,    2830
  1,   15,   4,  34,  93,   2,  24, 189,  16929.666,   36830,    2630
  2,   19,   2,  63,  82,   0,  24, 189,  19152.000,   34020,    2500
  3,   19,   2,  63,  82,   0,  24, 189,  23563.000,   46920,    7860
  4,   68,   1,  45,  63,   2,  78,  50,  15496.000,   37320,    3990
  5,   69,   3,  76,  69,   3,   9,  94,  16065.333,   38860,    5150
  6,   68,   1,  76,  69,   2,  78,  50,  13365.333,   21580,    3880
  7,   68,   1,  76,  69,   3,   9,  94,  12486.667,   27130,    4390
  8,   88,   4,  27,  81,   4,  30, 194,  16449.334,   27620,    6390
  9,   26,   2,  65,  50,   3,  22,  30,  18009.000,   44640,    6050
 10,   88,   4,  27,  81,   4,  22,  30,  12857.000,   23950,    4950
 11,   26,   2,  27,  81,   4,  30, 194,  17898.334,   37860,    2270
 12,   45,   3,  53,  67,   1,  23,  24,  16573.666,   31550,    4230
 13,   52,   0,  23,  35,   2,  70, 101,  14110.667,   28170,    3670
 14,   45,   0,  23,  67,   1,  23,  24,  14254.667,   20710,    4350
 15,   45,   0,  23,  35,   2,  70, 101,  12287.667,   26730,    3300
 16,   18,   1,  32,  80,   2,  56, 125,  16379.333,   27390,    4630
 17,   61,   2,  25,  75,   4,  48,  66,  13486.667,   29710,    4340
 18,   18,   1,  32,  80,   4,  48, 125,  16630.666,   32520,    5980
 19,   18,   1,  32,  75,   4,  56, 125,  17724.334,   30060,    7440
 20,   21,   1,  50,  47,   1,  53, 156,  17605.666,   34710,    5850
 21,   39,   0,  33,  97,   2,   3, 158,  10187.333,   17220,    3740
 22,   39,   0,  50,  47,   1,  53, 156,  12888.333,   27090,    2460
 23,   21,   1,  50,  97,   2,   3, 156,  17374.334,   37100,    4770
 24,   32,   1,  80,  62,   4,  29, 108,  13982.333,   39480,    5980
 25,   38,   2,  78,  65,   0,  33, 125,  19665.000,   32460,    4080
 26,   32,   1,  80,  62,   0,  33, 125,  14782.000,   25470,    5910
 27,   32,   1,  80,  65,   0,  33, 125,  16216.000,   38530,    5780
 28,   27,   3,  63,  28,   2,  21,  99,  17648.000,   34580,    3680
 29,   38,   1,  37,  60,   3,  39,  45,  17763.334,   35590,    3600
 30,   27,   3,  63,  60,   3,  39,  45,  17826.666,   34990,    7020
 31,   27,   3,  63,  28,   3,  39,  45,  15369.333,   39940,    3580
 32,   66,   4,  80,  44,   2,  59, 135,  15391.333,   40320,    4320
 33,   77,   1,  91,   5,   4,   0,  44,  13515.000,   30520,    4170
 34,   66,   4,  80,  44,   4,   0,  44,  13118.000,   34470,    4730
 35,   77,   1,  91,   5,   4,   0,  44,  15760.667,   34700,    5140
 36,   52,   3,  70,  75,   4,   9, 116,  18136.000,   32180,    5580
 37,   19,   3,  84,  53,   1,  43, 193,  18677.666,   46180,    3820
 38,   52,   3,  84,  75,   4,   9, 116,  15964.333,   45950,    3250
 39,   52,   3,  84,  53,   4,   9, 116,  15430.667,   35170,    2790
 40,    0,   4,  48,  80,   2,  58,  83,  15337.333,   34720,    4140
 41,   71,   0,  67,  37,   2,  33, 168,  15594.667,   25190,    2980
 42,    0,   0,  67,  37,   2,  33, 168,  14834.333,   27480,    3580
 43,    0,   4,  48,  37,   2,  58,  83,  12372.000,   34610,    3420
 44,   94,   2,   9,  26,   2,  93,   4,    909.000,    2220,     610
 45,   67,   3,  63,  31,   3,  60,  49,  16178.000,   32790,    6020
 46,   94,   2,   9,  31,   3,  60,   4,    880.667,    1540,     630
 47,   94,   3,  63,  31,   3,  60,  49,  12965.000,   26420,    3390
 48,   41,   2,  12,  43,   4,  72, 125,  14169.000,   28100,    2820
 49,   84,   0,  41,  39,   2,  20, 180,  15258.667,   24130,    4790
 50,   41,   2,  12,  43,   4,  20, 180,  15719.000,   27030,    4960
 51,   84,   0,  41,  43,   4,  72, 125,  13250.333,   23770,    4250
 52,   50,   1,  78,  72,   3,  99, 125,  14115.333,   34560,    5060
 53,   36,   3,  93,  23,   0,  57, 104,  13790.333,   31110,    2260
 54,   36,   3,  93,  23,   0,  57, 125,  12346.333,   25300,    3990
 55,   50,   1,  78,  72,   0,  57, 104,  12035.333,   26310,    3050
 56,   84,   4,  18,  71,   3,  24,  41,  16649.334,   34950,    2930
 57,   68,   1,  40,  69,   2,  96, 126,  13467.000,   25490,    5780
 58,   84,   4,  40,  69,   3,  24,  41,  14769.333,   35590,    3730
 59,   84,   1,  40,  69,   2,  96,  41,  16516.666,   32920,    3920
 60,   56,   4,  56,  75,   3,  69, 136,  14511.333,   30150,    4930
 61,    9,   4,  77,  51,   2,  22, 121,  14648.333,   36020,    2070
 62,   56,   4,  77,  75,   3,  69, 136,  15977.333,   32750,    5850
 63,    9,   4,  77,  51,   2,  22, 121,  17084.666,   39080,    4440
 64,   61,   2,   9,  29,   2,  85,  71,  15515.000,   34190,    3740
 65,   10,   2,  50,  23,   0,  98, 135,  14037.000,   32210,    4500
 66,   61,   2,   9,  29,   0,  98, 135,  15407.333,   29830,    2970
 67,   10,   2,  50,  23,   2,  85,  71,  12395.333,   30420,    1720
 68,   18,   1,  18,  21,   0,  77, 174,  16785.334,   42780,    5240
 69,   34,   3,  10,   3,   1,  13, 177,  14570.333,   32200,    3780
 70,   18,   1,  10,   3,   1,  13, 174,  14520.000,   25980,    3000
 71,   18,   1,  18,   3,   1,  13, 177,  12881.333,   26000,    3440
 72,   68,   3,  64,  73,   3,  68, 101,  14437.000,   37610,    4630
 73,    3,   0,  30,  25,   4,  58,  55,  14340.333,   24110,    4050
 74,   68,   0,  30,  25,   3,  68, 101,  12056.333,   24630,    3100
 75,   68,   3,  64,  73,   4,  58, 101,  15445.667,   38170,    5400
 76,    2,   0,  75,  30,   0,  70, 140,  13893.000,   24140,    3160
 77,   64,   0,  54,  76,   0,  70, 178,  14401.667,   32700,    3870
 78,   64,   0,  54,  76,   0,  70, 140,  13899.333,   27780,    3580
 79,    2,   0,  54,  76,   0,  70, 140,  15767.000,   28430,    3360
 80,   95,   0,  89,  11,   0,   5,  39,  10634.667,   26380,    2940
 81,   34,   1,  35,   7,   3,  71,  85,  13629.000,   29330,    4360
 82,   95,   0,  35,   7,   0,   5,  39,  16328.333,   27640,    6500
 83,   95,   0,  89,  11,   3,  71,  39,  13344.000,   26140,    3110
 84,    4,   1,  94,  96,   2,  96, 165,  13056.667,   29250,    3040
 85,    0,   2,   0,  39,   1,  28,  91,  12911.333,   31350,    2350
 86,    4,   1,  94,  39,   1,  28,  91,  16633.000,   34540,    7180
 87,    0,   2,   0,  96,   2,  96, 165,  10928.333,   28410,    2350
 88,    3,   2,  40,  82,   4,  82, 145,  12771.000,   24320,    3330
 89,   53,   4,  62,   0,   0,  58, 134,  14503.000,   33820,    5520
 90,    3,   2,  40,   0,   0,  82, 145,  10343.333,   28580,    1510
 91,   53,   4,  40,  82,   4,  82, 145,  13773.000,   32050,    1790
 92,    5,   1,  31,  62,   1,  90,  82,  13444.000,   25810,    2310
 93,   92,   2,  29,  24,   1,  79, 120,  12882.667,   28770,    3000
 94,   92,   2,  29,  62,   1,  90,  82,  13936.000,   25770,    3180
 95,    5,   1,  31,  24,   1,  90,  82,  14919.667,   45690,    3790
 96,   20,   0,  20,  21,   2,   5,  51,  15702.000,   33990,    4900
 97,   89,   4,  47,  77,   2,  91,  66,  12349.000,   28410,    3870
 98,   20,   0,  20,  77,   2,   5,  51,   9514.667,   17200,    4180
 99,   20,   0,  47,  77,   2,  91,  51,  12954.333,   23720,    2750
GENERATION: 1 Statistics:
Avg. fitness: 14591.791
Worst fitness: 880.6667 Worst_Best: 1540.0 Worst_Worst: 630.0
Best fitness: 23563.0 Best_Best: 46920.0 Best_Worst: 7860.0

  0,   19,   2,  63,  82,   0,  24, 189,  20858.666,   49990,    3130
  1,   19,   1,  63,  82,   0,   6, 178,  17618.334,   41060,    3690
  2,   19,   1,  63,  82,   0,   6, 189,  20048.000,   49310,    6110
  3,   19,   1,  63,  82,   0,  24, 189,  17198.666,   38220,    4250
  4,   38,   2,  78,  67,   0,  35, 125,  17196.334,   60180,    6160
  5,   19,   2,  63,  82,   0,  24, 184,  20420.334,   49340,    4680
  6,   19,   2,  78,  67,   0,  35, 125,  20742.000,   38360,    6440
  7,   38,   2,  78,  82,   0,  24, 184,  17603.000,   34450,    4690
  8,   22,   3,  86,  53,   1,  43, 198,  18034.000,   46970,    2960
  9,   52,   3,  70,  75,   4,   9, 116,  15843.667,   26340,    5940
 10,   22,   3,  70,  53,   1,  43, 198,  17196.000,   35070,    5410
 11,   22,   3,  70,  75,   4,   9, 116,  17292.666,   46220,    4590
 12,   26,   2,  65,  50,   3,  22,  30,  18031.000,   35260,    6360
 13,   26,   2,  27,  81,   4,  30, 194,  18751.334,   32480,    5860
 14,   26,   2,  65,  50,   4,  30,  30,  14841.667,   24290,    4600
 15,   26,   2,  27,  50,   3,  22,  30,  12639.000,   24770,    4420
 16,   27,   4,  63,  60,   3,  39,  45,  19119.334,   42440,    4890
 17,   38,   1,  37,  60,   3,  39,  45,  16208.000,   43350,    5730
 18,   27,   4,  37,  60,   3,  39,  45,  16745.000,   39270,    4030
 19,   27,   1,  37,  60,   3,  39,  45,  14947.333,   34280,    4820
 20,   15,   1,  32,  75,   0,  56, 125,  14236.667,   38660,    6530
 21,   27,   3,  63,  28,   2,  21,  99,  17499.000,   50290,    4480
 22,   27,   3,  63,  28,   2,  21,  99,  15207.667,   30990,    3900
 23,   27,   3,  63,  28,   2,  56, 125,  16438.000,   40970,    3390
 24,   21,   2,  50,  47,   1,  53, 161,  15072.000,   28810,    1730
 25,   21,   1,  50,  97,   2,   3, 156,  16970.334,   32020,    3820
 26,   21,   1,  50,  97,   1,  53, 161,  18581.666,   36500,    6340
 27,   21,   2,  50,  97,   2,  53, 161,  17217.666,   49810,    3990
 28,    9,   4,  77,  51,   2,  26, 121,  17034.334,   44390,    5800
 29,   15,   4,  34,  93,   2,  24, 189,  19072.000,   48230,    3230
 30,   15,   4,  77,  51,   2,  26, 121,  17822.666,   46420,    4940
 31,    9,   4,  34,  93,   2,  24, 189,  15651.667,   33620,    2030
 32,   18,   1,  20,  21,   0,  77, 174,  12782.333,   28080,    1890
 33,   84,   4,  18,  71,   3,  24,  41,  16973.334,   46410,    3990
 34,   18,   1,  18,  71,   3,  77, 174,  14482.000,   36590,    4330
 35,   18,   1,  20,  21,   3,  24,  41,  15223.333,   42040,    3370
 36,    4,   1,  94,  39,   1,  28,  91,  16285.333,   52070,    4880
 37,   18,   1,  32,  80,   4,  48, 125,  20719.666,   36380,    3290
 38,    4,   1,  32,  80,   1,  28,  91,  19092.334,   39320,    5290
 39,    4,   1,  32,  80,   4,  48, 125,  18258.334,   29410,    5580
 40,   45,   2,  53,  67,   1,  23,  24,  15567.667,   26110,    5730
 41,   84,   1,  40,  69,   2,  96,  41,  16510.334,   31200,    3620
 42,   45,   2,  40,  69,   2,  23,  24,  16013.333,   37240,    4180
 43,   45,   2,  40,  69,   1,  23,  24,  15267.333,   28070,    5430
 44,   88,   4,  27,  81,   4,  30, 199,  14237.000,   27720,    3680
 45,   18,   1,  32,  80,   2,  56, 125,  16439.334,   32960,    5440
 46,   18,   1,  32,  80,   4,  30, 199,  16284.333,   45730,    4070
 47,   18,   1,  27,  81,   4,  30, 199,  18371.000,   35730,    7090
 48,   95,   2,  35,   9,   0,   5,  39,  12970.333,   28490,    5320
 49,   32,   1,  80,  65,   0,  33, 125,  19735.334,   39270,    5090
 50,   32,   1,  35,   9,   0,   5,  39,  13602.667,   21810,    4900
 51,   95,   2,  35,   9,   0,  33,  39,  12382.333,   32470,    4080
 52,   67,   3,  63,  31,   3,  60,  49,  11293.000,   27630,    4080
 53,   69,   3,  76,  69,   3,   9,  94,  17422.334,   28050,    6300
 54,   67,   3,  76,  69,   3,  60,  49,  15723.333,   25230,    5700
 55,   67,   3,  63,  31,   3,   9,  94,  12300.333,   24400,    4310
